epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7697,1.64035,4.57954,1.49069,0.00059,0.22388,0.00039,0.00017,1.41761,4.34679,1.5775,0.00013336,0.00013336,0.00013336
2,45.6266,1.32772,3.78796,1.21183,0.00326,0.8636,0.08278,0.0536,1.06727,3.82316,1.07407,0.000280584,0.000280584,0.000280584
3,63.9627,1.16906,2.71839,1.10985,0.00284,0.78366,0.01958,0.01453,1.10358,3.82665,1.15562,0.000424838,0.000424838,0.000424838
4,81.2616,1.13017,2.44085,1.0725,0.00161,0.43768,0.1065,0.07117,1.13674,3.49462,1.03914,0.000566122,0.000566122,0.000566122
5,98.8305,1.09881,2.2053,1.0576,0.0018,0.49914,0.11906,0.0777,1.0938,3.35101,1.07262,0.000704434,0.000704434,0.000704434
6,117.697,1.09645,2.0657,1.05211,0.00322,0.77094,0.24624,0.14942,1.09823,3.11607,1.01203,0.000839776,0.000839776,0.000839776
7,136.26,1.08439,1.99827,1.05088,0.00659,0.94779,0.4382,0.28952,1.08963,2.75383,1.00917,0.000972148,0.000972148,0.000972148
8,155.328,1.05645,1.84206,1.0577,0.37494,0.37014,0.34782,0.2252,1.11879,2.5553,1.02879,0.00110155,0.00110155,0.00110155
9,172.695,1.06931,1.76085,1.05826,0.31504,0.40077,0.27904,0.18719,1.13372,2.4888,1.12496,0.00122798,0.00122798,0.00122798
10,190.766,1.12659,1.66979,1.07178,0.31408,0.41626,0.23203,0.13215,1.3749,2.62616,1.137,0.00135144,0.00135144,0.00135144
11,208.086,1.07841,1.58885,1.05841,0.63786,0.36319,0.2681,0.15904,1.20721,2.85441,1.13222,0.00147193,0.00147193,0.00147193
12,225.556,1.08056,1.53647,1.05785,0.05878,0.12218,0.02987,0.01542,1.52902,2.92786,1.24807,0.00148546,0.00148546,0.00148546
13,243.746,1.1069,1.47573,1.07671,0.45464,0.46694,0.39411,0.21542,1.34012,2.13207,1.13156,0.00146896,0.00146896,0.00146896
14,261.175,1.07351,1.41846,1.07003,0.38702,0.38736,0.35454,0.21865,1.24733,2.57793,1.14164,0.00145246,0.00145246,0.00145246
15,278.745,1.04599,1.3299,1.04649,0.63693,0.17816,0.20278,0.12133,1.46757,3.69189,1.30032,0.00143595,0.00143595,0.00143595
16,296.095,1.02634,1.25956,1.03405,0.16043,0.5287,0.14224,0.08228,1.72914,3.73659,1.28872,0.00141945,0.00141945,0.00141945
17,313.439,1.05373,1.23166,1.04677,0.37999,0.49896,0.30394,0.20154,1.2236,2.67197,1.11829,0.00140295,0.00140295,0.00140295
18,331.562,1.03676,1.23759,1.05574,0.35331,0.59912,0.36541,0.25251,1.08394,2.0344,1.02524,0.00138644,0.00138644,0.00138644
19,349.853,1.02521,1.18007,1.04073,0.25375,0.49164,0.25642,0.17646,1.05562,1.92144,1.03816,0.00136994,0.00136994,0.00136994
20,369.493,1.03003,1.15028,1.04483,0.1573,0.39353,0.16562,0.11898,1.06101,7.73109,1.02005,0.00135344,0.00135344,0.00135344
21,388.273,1.01739,1.12019,1.04741,0.17679,0.50142,0.1597,0.09796,1.10117,5.199,1.10076,0.00133693,0.00133693,0.00133693
22,407.212,0.9863,1.10108,1.02639,0.71416,0.16278,0.14504,0.09668,1.36495,3.66153,1.38171,0.00132043,0.00132043,0.00132043
23,425.218,1.00484,1.08029,1.02117,0.44106,0.3808,0.24977,0.17052,1.26485,2.75878,1.19412,0.00130393,0.00130393,0.00130393
24,442.965,1.02186,1.04516,1.04936,0.6575,0.37931,0.2745,0.18232,1.07115,3.349,1.04446,0.00128742,0.00128742,0.00128742
25,461.136,0.96789,1.03983,1.02509,0.38592,0.49623,0.33921,0.23246,1.17536,2.88122,1.09231,0.00127092,0.00127092,0.00127092
26,479.294,0.97981,1.02611,1.02477,0.33782,0.65831,0.37104,0.24744,1.10444,1.51561,1.07164,0.00125442,0.00125442,0.00125442
27,497.094,0.93796,0.98135,1.0063,0.50927,0.53227,0.36385,0.24857,1.1005,2.21873,1.01217,0.00123791,0.00123791,0.00123791
28,514.181,0.94668,0.97755,1.00824,0.43745,0.4451,0.33477,0.23076,1.11206,2.00576,1.03469,0.00122141,0.00122141,0.00122141
29,532.85,0.94322,0.94348,1.01669,0.42146,0.62659,0.45051,0.31289,1.04683,1.55923,1.0159,0.00120491,0.00120491,0.00120491
30,550.53,0.94198,0.95536,1.00775,0.36465,0.71676,0.41108,0.28868,1.04524,1.89279,1.03041,0.0011884,0.0011884,0.0011884
31,567.755,0.96088,0.93736,1.02735,0.40187,0.67149,0.44269,0.30862,1.02503,1.4638,1.00903,0.0011719,0.0011719,0.0011719
32,585.698,0.93312,0.9235,1.00734,0.36543,0.56017,0.36383,0.25372,0.99169,1.60836,1.01833,0.0011554,0.0011554,0.0011554
33,603.604,0.95393,0.93421,1.00325,0.34966,0.74847,0.40612,0.27991,1.03584,1.60332,0.98952,0.00113889,0.00113889,0.00113889
34,620.795,0.92523,0.89919,0.99885,0.42945,0.60188,0.39075,0.2677,1.01281,1.92485,1.01922,0.00112239,0.00112239,0.00112239
35,638.693,0.93514,0.92502,1.00634,0.32298,0.59539,0.34033,0.23324,1.00846,2.53649,1.01311,0.00110589,0.00110589,0.00110589
36,656.067,0.93622,0.92058,1.00777,0.3209,0.54857,0.34028,0.2428,1.01837,2.5968,1.00557,0.00108938,0.00108938,0.00108938
37,673.296,0.93286,0.87016,1.00718,0.33686,0.66353,0.34875,0.23755,0.93757,2.0712,0.98775,0.00107288,0.00107288,0.00107288
38,691.325,0.91619,0.82893,1.00483,0.42441,0.55788,0.44092,0.31207,0.99855,1.48695,0.99274,0.00105638,0.00105638,0.00105638
39,709.158,0.93257,0.88704,1.00497,0.44329,0.78665,0.47115,0.33521,0.98638,1.30139,0.96126,0.00103987,0.00103987,0.00103987
40,728.438,0.90084,0.84402,0.98364,0.47397,0.72943,0.51089,0.36351,0.96649,1.33276,0.98191,0.00102337,0.00102337,0.00102337
41,745.912,0.88226,0.80799,0.98998,0.37536,0.7629,0.38457,0.26651,0.95857,1.88857,0.99664,0.00100687,0.00100687,0.00100687
42,764.192,0.89418,0.8035,0.98771,0.38621,0.6795,0.42511,0.29478,1.0128,1.70168,0.98848,0.000990365,0.000990365,0.000990365
43,783.227,0.88196,0.7861,0.97748,0.41404,0.76453,0.46062,0.33145,0.9935,1.639,0.98908,0.000973861,0.000973861,0.000973861
44,800.815,0.86993,0.78854,0.98698,0.35704,0.68003,0.39436,0.28597,0.99319,1.86384,0.9797,0.000957358,0.000957358,0.000957358
45,818.897,0.89592,0.78278,0.99568,0.37589,0.69402,0.4289,0.29575,1.05498,1.67866,0.98388,0.000940855,0.000940855,0.000940855
46,837.497,0.90851,0.80907,0.99195,0.44928,0.56054,0.45159,0.30897,0.96076,1.22483,0.97038,0.000924352,0.000924352,0.000924352
47,855.672,0.89184,0.77729,0.98143,0.44062,0.70947,0.45774,0.33211,1.03542,1.62739,0.98763,0.000907848,0.000907848,0.000907848
48,873.842,0.87704,0.78473,0.98886,0.41144,0.76791,0.42532,0.30357,1.01628,1.72286,0.99705,0.000891345,0.000891345,0.000891345
49,894.298,0.87244,0.73446,0.97834,0.49106,0.67387,0.52563,0.37617,0.96432,1.28212,0.98803,0.000874842,0.000874842,0.000874842
50,913.364,0.86616,0.74345,0.97646,0.43637,0.63035,0.47159,0.34705,0.94107,1.36657,0.98479,0.000858338,0.000858338,0.000858338
51,931.054,0.86539,0.72355,0.9809,0.42486,0.75093,0.44328,0.32252,1.03185,1.64512,0.99304,0.000841835,0.000841835,0.000841835
52,952.338,0.8887,0.76468,0.98975,0.44306,0.74269,0.51469,0.37489,0.98155,1.44513,0.9753,0.000825332,0.000825332,0.000825332
53,970.068,0.83672,0.69308,0.96299,0.46762,0.68469,0.51077,0.37436,0.95063,1.36738,0.97533,0.000808828,0.000808828,0.000808828
54,989.58,0.82193,0.67471,0.96427,0.44727,0.74232,0.50228,0.35725,1.01088,1.71711,0.99607,0.000792325,0.000792325,0.000792325
55,1007.5,0.82269,0.65678,0.96283,0.42163,0.65587,0.4502,0.31407,1.05702,2.03914,1.03184,0.000775822,0.000775822,0.000775822
56,1029.55,0.85146,0.68718,0.96903,0.38707,0.66852,0.40133,0.28038,1.0336,2.28433,1.0235,0.000759318,0.000759318,0.000759318
57,1047.33,0.84805,0.70441,0.96305,0.44675,0.61487,0.43866,0.31502,1.06257,2.28541,1.02474,0.000742815,0.000742815,0.000742815
58,1066.05,0.84757,0.67808,0.95713,0.42051,0.63905,0.42001,0.30118,0.99973,2.20316,1.00523,0.000726312,0.000726312,0.000726312
59,1084.48,0.8322,0.68764,0.96005,0.28477,0.86838,0.40887,0.3054,0.94432,2.49589,0.98387,0.000709809,0.000709809,0.000709809
60,1102.63,0.8476,0.6671,0.95939,0.42351,0.65207,0.4395,0.31713,1.01063,1.84552,1.02079,0.000693305,0.000693305,0.000693305
61,1120.57,0.78802,0.6091,0.9456,0.45614,0.78094,0.52267,0.37757,0.95797,1.86543,0.99819,0.000676802,0.000676802,0.000676802
62,1138.84,0.81822,0.63165,0.9543,0.44761,0.67824,0.45743,0.33389,1.00058,2.05782,1.01569,0.000660299,0.000660299,0.000660299
63,1157.2,0.82412,0.62189,0.95386,0.47422,0.7097,0.48456,0.35283,0.98838,1.61054,0.98402,0.000643795,0.000643795,0.000643795
64,1175.01,0.81012,0.62962,0.95217,0.48663,0.67392,0.51917,0.37927,0.94801,1.57285,0.98601,0.000627292,0.000627292,0.000627292
65,1192.6,0.79935,0.61991,0.95057,0.43978,0.67294,0.45564,0.33815,0.94096,1.51862,0.98556,0.000610789,0.000610789,0.000610789
66,1209.5,0.8027,0.60655,0.94704,0.46045,0.66096,0.48153,0.35125,0.95913,1.48782,0.97798,0.000594286,0.000594286,0.000594286
67,1228.05,0.79134,0.60404,0.95051,0.44931,0.77067,0.49143,0.35217,0.97938,1.67715,0.97234,0.000577782,0.000577782,0.000577782
68,1245.22,0.80694,0.58526,0.95021,0.4406,0.68806,0.48297,0.34813,1.0035,1.67482,0.99071,0.000561279,0.000561279,0.000561279
69,1263.96,0.79112,0.59886,0.94116,0.40774,0.79244,0.4428,0.32515,0.90083,1.71164,0.96712,0.000544776,0.000544776,0.000544776
70,1281.6,0.78895,0.57819,0.96047,0.43446,0.72223,0.46887,0.35312,0.96557,1.99889,0.98164,0.000528272,0.000528272,0.000528272
71,1298.91,0.7627,0.5834,0.93875,0.40473,0.64782,0.43151,0.32933,0.9177,2.35216,0.9569,0.000511769,0.000511769,0.000511769
72,1316.46,0.77634,0.56646,0.94872,0.45603,0.58912,0.42656,0.31629,0.97432,2.45736,0.9765,0.000495266,0.000495266,0.000495266
73,1334.3,0.77084,0.59022,0.93823,0.44007,0.58512,0.42437,0.31245,0.9944,2.27185,0.98311,0.000478762,0.000478762,0.000478762
74,1352.3,0.75513,0.54084,0.9363,0.48246,0.64092,0.49725,0.368,0.93346,2.00833,0.96429,0.000462259,0.000462259,0.000462259
75,1369.41,0.76901,0.54917,0.9386,0.42095,0.64573,0.45187,0.33234,0.95053,1.79994,0.98692,0.000445756,0.000445756,0.000445756
76,1387.29,0.77912,0.54544,0.9417,0.44388,0.7154,0.48647,0.36555,0.96108,2.16608,0.99735,0.000429253,0.000429253,0.000429253
77,1405.07,0.75575,0.54317,0.93025,0.42733,0.72907,0.47454,0.351,0.93671,1.57405,0.97979,0.000412749,0.000412749,0.000412749
78,1422.4,0.78354,0.53904,0.9375,0.42654,0.71605,0.45627,0.33824,0.91592,1.72552,0.96962,0.000396246,0.000396246,0.000396246
79,1440.69,0.74333,0.54113,0.92674,0.43525,0.7649,0.48713,0.36178,0.94701,1.83824,0.98729,0.000379743,0.000379743,0.000379743
80,1458.69,0.75653,0.53551,0.93076,0.46366,0.67827,0.5033,0.37545,0.95077,1.99952,0.98589,0.000363239,0.000363239,0.000363239
81,1476.28,0.7564,0.52941,0.93631,0.43618,0.72373,0.51008,0.3812,0.92327,2.02021,0.96502,0.000346736,0.000346736,0.000346736
82,1493.7,0.73256,0.50886,0.92801,0.50114,0.72772,0.51955,0.38826,0.94428,1.83754,0.97305,0.000330233,0.000330233,0.000330233
83,1511.82,0.74773,0.51582,0.92244,0.45613,0.72219,0.5023,0.36124,0.94654,1.58351,0.97142,0.000313729,0.000313729,0.000313729
84,1529.59,0.75062,0.49863,0.93346,0.47372,0.69978,0.52915,0.39754,0.93687,1.65105,0.97624,0.000297226,0.000297226,0.000297226
85,1547.84,0.71999,0.48922,0.92112,0.50408,0.65886,0.51673,0.38038,0.9461,1.94796,0.97102,0.000280723,0.000280723,0.000280723
86,1566.98,0.73145,0.49388,0.93411,0.46873,0.70096,0.49445,0.36275,0.97535,2.00141,0.99222,0.00026422,0.00026422,0.00026422
87,1585.08,0.72017,0.48354,0.92275,0.47436,0.60116,0.46573,0.34147,0.93968,2.16578,0.97559,0.000247716,0.000247716,0.000247716
88,1602.85,0.7143,0.49813,0.91997,0.46029,0.64537,0.50603,0.37174,0.96405,1.9148,0.98855,0.000231213,0.000231213,0.000231213
89,1621.1,0.73031,0.49062,0.93222,0.47464,0.74949,0.51728,0.37684,0.97042,1.99442,0.98809,0.00021471,0.00021471,0.00021471
90,1639.31,0.71984,0.47474,0.92073,0.57544,0.58755,0.53588,0.40197,0.92565,1.90721,0.96395,0.000198206,0.000198206,0.000198206
91,1665.72,0.64862,0.43645,0.89243,0.52107,0.66043,0.55333,0.41622,0.92747,1.74089,0.96132,0.000181703,0.000181703,0.000181703
92,1683.29,0.64389,0.39875,0.88261,0.53624,0.65652,0.54833,0.4126,0.90162,2.02826,0.95311,0.0001652,0.0001652,0.0001652
93,1701.43,0.62515,0.39176,0.87747,0.48578,0.69955,0.52631,0.39535,0.93839,1.98601,0.96842,0.000148696,0.000148696,0.000148696
94,1718.07,0.62323,0.37655,0.87428,0.47748,0.69721,0.51785,0.39232,0.92758,1.88689,0.96617,0.000132193,0.000132193,0.000132193
95,1735.03,0.63292,0.37529,0.88743,0.48786,0.68249,0.51451,0.38473,0.91701,1.84535,0.96913,0.00011569,0.00011569,0.00011569
96,1751.91,0.6274,0.37108,0.87722,0.48959,0.71625,0.53095,0.39161,0.9076,1.74379,0.96422,9.91865e-05,9.91865e-05,9.91865e-05
97,1768.27,0.61315,0.35627,0.87652,0.48293,0.70264,0.52237,0.38749,0.91079,1.97121,0.969,8.26832e-05,8.26832e-05,8.26832e-05
98,1785.94,0.60878,0.35684,0.86722,0.48195,0.699,0.51014,0.37864,0.91948,2.04358,0.97275,6.61799e-05,6.61799e-05,6.61799e-05
99,1803.52,0.6023,0.36411,0.87132,0.48549,0.68999,0.50191,0.36855,0.92045,1.99028,0.97504,4.96766e-05,4.96766e-05,4.96766e-05
100,1820.24,0.59615,0.34636,0.86463,0.47802,0.71964,0.50886,0.37901,0.923,1.92285,0.97873,3.31733e-05,3.31733e-05,3.31733e-05
